Név,Dátum,Nyitó ár,Maximum ár,Minimum ár,Utolsó ár
BUX,2013.12.19.,18667.304728,18708.790874,18498.523332,18630.574854
BUX,2013.12.20.,18630.432167,18630.432167,18365.638011,18459.330544
BUX,2013.12.23.,18457.212135,18553.068441,18334.0867,18334.0867
BUX,2013.12.30.,18314.733138,18603.384329,18314.733138,18564.083063
BUX,2014.01.02.,18592.936374,18665.840716,18528.398802,18552.4022
BUX,2014.01.03.,18552.4022,18636.624576,18434.954732,18626.194822
BUX,2014.01.06.,18580.517199,18656.79173,18509.63061,18572.7653
BUX,2014.01.07.,18571.930695,18704.817102,18571.930695,18618.655418
BUX,2014.01.08.,18606.337597,18756.09878,18576.696166,18681.495103
BUX,2014.01.09.,18684.852528,18986.298816,18678.572515,18986.298816
BUX,2014.01.10.,18955.818784,19101.716144,18905.189226,19101.716144
BUX,2014.01.13.,19084.006582,19425.898443,19049.114817,19420.156835
BUX,2014.01.14.,19357.704926,19466.915069,19161.742487,19430.286532
BUX,2014.01.15.,19430.525976,19568.467962,19309.001273,19423.016149
BUX,2014.01.16.,19381.281748,19526.290127,19332.861038,19459.576765
BUX,2014.01.17.,19469.400986,19556.000636,19228.27028,19255.652014
BUX,2014.01.20.,19254.4892,19262.537806,19097.833905,19262.537806
BUX,2014.01.21.,19225.490063,19487.769663,19196.800451,19453.02019
BUX,2014.01.22.,19476.093311,19596.653923,19377.856197,19596.457553
BUX,2014.01.23.,19587.051931,19702.841418,19516.120868,19544.60576
BUX,2014.01.24.,19562.709421,19625.758079,19075.389821,19075.389821
BUX,2014.01.27.,19073.329548,19073.906875,18734.620036,18799.727182
BUX,2014.01.28.,18861.17236,18955.556484,18660.946745,18707.399965
BUX,2014.01.29.,18768.845144,19043.42138,18454.662756,18546.799324
BUX,2014.01.30.,18546.799324,18732.666272,18513.915847,18616.676663
BUX,2014.01.31.,18609.199962,18958.235071,18533.723593,18958.235071
BUX,2014.02.03.,18941.352749,18954.143061,18536.416329,18552.468024
BUX,2014.02.04.,18512.79918,18605.88904,18418.517313,18510.641784
BUX,2014.02.05.,18538.493569,18610.934463,18339.32456,18339.32456
BUX,2014.02.06.,18358.649558,18391.809343,18053.679257,18087.58801
BUX,2014.02.07.,18104.299081,18242.859416,18017.243011,18106.069008
BUX,2014.02.10.,18131.478118,18196.018904,18055.774294,18115.275916
BUX,2014.02.11.,18121.017525,18297.438797,18083.806984,18297.438797
BUX,2014.02.12.,18312.92853,18382.699087,18020.903747,18062.201232
BUX,2014.02.13.,18094.230785,18094.230785,17911.834708,18028.424373
BUX,2014.02.14.,18040.733534,18279.255768,18009.667046,18249.391404
BUX,2014.02.17.,18278.236054,18333.936584,18220.747771,18299.742831
BUX,2014.02.18.,18311.726811,18408.090178,18256.285091,18327.426895
BUX,2014.02.19.,18285.983059,18367.846157,18172.051229,18272.574052
BUX,2014.02.20.,18274.480396,18274.480396,17989.385321,18096.525278
BUX,2014.02.21.,18114.128175,18196.984416,18018.881778,18110.982466
BUX,2014.02.24.,18057.721572,18272.517945,18057.721572,18221.938288
BUX,2014.02.25.,18223.664719,18278.83514,17739.668208,17753.692813
BUX,2014.02.26.,17747.212951,17812.601097,17563.995155,17794.882272
BUX,2014.02.27.,17789.140664,17807.798011,17256.971865,17376.416782
BUX,2014.02.28.,17408.621064,17744.920025,17408.621064,17744.920025
BUX,2014.03.03.,17740.614287,17740.614287,16852.813144,17115.163769
BUX,2014.03.04.,17132.388594,17753.988457,17132.388594,17753.988457
BUX,2014.03.05.,17667.386031,17710.016371,17471.836133,17471.836133
BUX,2014.03.06.,17461.187521,17661.366417,17270.40942,17394.254901
BUX,2014.03.07.,17388.847134,17430.105226,17128.496861,17130.561853
BUX,2014.03.10.,17082.479967,17149.50668,16796.884793,16796.884793
BUX,2014.03.11.,16802.626401,16932.431942,16511.276796,16617.654609
BUX,2014.03.12.,16614.438323,16672.14609,16228.951817,16343.128476
BUX,2014.03.13.,16341.793108,16534.566642,16085.077934,16140.532899
BUX,2014.03.14.,16123.308074,16182.328495,15981.965725,16157.589925
BUX,2014.03.17.,16169.240063,16846.535574,16169.240063,16791.197996
BUX,2014.03.18.,16794.614069,17167.590384,16729.998445,16961.880311
BUX,2014.03.19.,16963.109761,17109.847242,16876.736172,17052.5116
